Question_ID,Question,Option_A,Option_B,Option_C,Option_D,Correct_Option,Topic
266,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
267,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
268,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
269,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
270,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
271,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
272,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
273,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
274,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
275,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
276,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
277,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
278,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
279,Which of the following is a prime number?,15,21,29,35,C,Number System
280,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
281,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
282,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
283,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
284,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
285,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
286,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
287,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
288,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
289,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
290,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
291,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
292,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
293,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
294,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
295,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
296,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
297,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
298,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
299,Which of the following is a prime number?,15,21,29,35,C,Number System
300,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
301,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
302,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
303,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
304,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
305,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
306,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
307,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
308,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
309,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
310,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
311,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
312,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
313,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
314,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
315,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
316,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
317,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
318,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
319,Which of the following is a prime number?,15,21,29,35,C,Number System
320,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
321,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
322,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
323,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
324,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
325,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
326,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
327,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
328,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
329,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
330,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
331,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
332,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
333,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
334,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
335,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
336,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
337,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
338,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
339,Which of the following is a prime number?,15,21,29,35,C,Number System
340,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
341,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
342,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
343,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
344,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
345,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
346,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
347,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
348,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
349,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
350,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
351,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
352,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
353,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
354,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
355,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
356,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
357,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
358,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
359,Which of the following is a prime number?,15,21,29,35,C,Number System
360,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
361,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
362,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
363,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
364,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
365,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
366,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
367,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
368,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
369,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
370,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
371,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
372,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
373,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
374,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
375,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
376,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
377,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
378,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
379,Which of the following is a prime number?,15,21,29,35,C,Number System
380,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
381,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
382,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
383,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
384,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
385,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
386,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
387,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
388,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
389,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
390,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
391,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
392,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
393,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
394,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
395,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
396,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
397,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
398,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
399,Which of the following is a prime number?,15,21,29,35,C,Number System
400,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
401,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
402,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
403,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
404,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
405,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
406,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
407,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
408,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
409,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
410,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
411,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
412,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
413,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
414,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
415,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
416,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
417,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
418,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
419,Which of the following is a prime number?,15,21,29,35,C,Number System
420,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
421,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
422,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
423,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
424,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
425,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
426,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
427,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
428,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
429,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
430,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
431,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
432,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
433,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
434,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
435,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
436,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
437,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
438,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
439,Which of the following is a prime number?,15,21,29,35,C,Number System
440,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
441,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
442,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
443,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
444,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
445,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
446,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
447,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
448,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
449,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
450,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
451,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
452,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
453,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
454,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
455,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
456,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
457,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
458,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
459,Which of the following is a prime number?,15,21,29,35,C,Number System
460,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
461,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
462,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
463,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
464,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
465,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
466,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
467,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
468,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
469,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
470,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
471,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
472,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
473,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
474,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
475,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
476,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
477,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
478,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
479,Which of the following is a prime number?,15,21,29,35,C,Number System
480,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
481,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
482,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
483,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
484,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
485,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
486,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
487,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
488,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
489,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
490,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
491,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
492,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
493,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
494,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
495,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
496,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
497,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
498,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
499,Which of the following is a prime number?,15,21,29,35,C,Number System
500,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
501,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
502,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
503,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
504,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
505,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
506,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
507,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
508,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
509,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
510,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
511,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
512,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
513,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
514,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
515,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
516,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
517,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
518,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
519,Which of the following is a prime number?,15,21,29,35,C,Number System
520,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
521,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
522,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
523,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
524,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
525,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
526,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
527,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
528,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
529,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
