id,domain,job_title,company,location,job_type,salary_range,summary,required_skills,preferred_skills,experience,responsibilities
82,Backend Developer,Staff Software Engineer – Backend,Stratos AI,"Sydney, Australia",Contract-to-Hire,"$150,000 – $180,000",We're looking for a skilled Staff Software Engineer – Backend to build the backbone of our cloud-native applications.,"[""Go"", ""gRPC"", ""PostgreSQL"", ""Docker"", ""Kubernetes"", ""Confluence"", ""Agile""]","[""GraphQL"", ""Terraform"", ""ElasticSearch"", ""CI/CD"", ""BDD""]",5-7 years,"[""Architect high-throughput data pipelines using Kafka and Java"", ""Develop Spring Boot microservices following domain-driven design"", ""Lead architectural decisions for backend systems"", ""Write runbooks and on-call documentation"", ""Participate in capacity planning and performance tuning""]"
83,Full Stack Developer,Software Engineer – Full Stack,Nexus Systems,"Sydney, Australia",Full-time (Remote),"$90,000 – $110,000",Join us as a Software Engineer – Full Stack and help shape the full stack architecture of our growing platform.,"[""Vue.js"", ""Python"", ""Django"", ""MySQL"", ""Docker"", ""Jira""]","[""Celery"", ""ElasticSearch"", ""Nginx"", ""GitHub Actions""]",3-5 years,"[""Develop full stack features for our B2B SaaS product"", ""Integrate third-party APIs and payment gateways"", ""Implement responsive UI components and backend business logic"", ""Own the full software development lifecycle for assigned features"", ""Maintain high test coverage across unit and integration tests""]"
84,Data Scientist,Data Science Manager,Synapse AI,"Denver, CO",Full-time,"$120,000 – $150,000","Join our data science team as a Data Science Manager and help us build intelligent, data-driven products.","[""Python"", ""Pandas"", ""Scikit-learn"", ""SQL"", ""Jupyter"", ""Microservices"", ""Unit Testing""]","[""AWS SageMaker"", ""MLflow"", ""Databricks"", ""PySpark""]",8+ years,"[""Build predictive models to improve user retention and lifetime value"", ""Conduct exploratory data analysis and present insights to stakeholders"", ""Design and analyze A/B tests to guide product decisions"", ""Collaborate with data engineers to productionize models"", ""Document methodology and maintain reproducible research""]"
85,Machine Learning Engineer,ML Engineer,Apex Digital,"Amsterdam, Netherlands",Full-time (Hybrid),"$160,000 – $200,000","As a ML Engineer, you will bridge research and production and own the full ML lifecycle.","[""Python"", ""TensorFlow"", ""Spark"", ""Airflow"", ""PostgreSQL""]","[""LangChain"", ""Weaviate"", ""Pinecone"", ""LlamaIndex""]",7+ years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
86,DevOps Engineer,Infrastructure Engineer,BlueSky Analytics,"Berlin, Germany",Full-time,"$130,000 – $160,000","As a Infrastructure Engineer, you will own the reliability, scalability, and security of our cloud infrastructure.","[""Docker"", ""Kubernetes"", ""CI/CD"", ""Linux"", ""Git"", ""Confluence""]","[""Istio"", ""Datadog"", ""PagerDuty"", ""Vault""]",5-7 years,"[""Lead platform engineering initiatives for a multi-cloud environment"", ""Define DevOps standards and promote a culture of operational excellence"", ""Conduct postmortems and drive long-term reliability improvements"", ""Build internal developer platforms using Backstage"", ""Manage capacity planning and cost optimization on AWS and GCP""]"
87,Cloud Engineer,Lead Cloud Engineer,Quantum Labs,"Chicago, IL",Full-time (Hybrid),"$95,000 – $120,000","We are hiring a Lead Cloud Engineer to design and maintain scalable, secure cloud infrastructure.","[""AWS"", ""Terraform"", ""Python"", ""Docker"", ""Linux""]","[""Azure Policy"", ""Bicep"", ""Defender for Cloud"", ""Sentinel""]",5-7 years,"[""Architect and deploy Azure-based solutions for enterprise clients"", ""Implement governance and policy frameworks using Azure Policy"", ""Manage AKS clusters and containerized workloads"", ""Automate cloud operations using PowerShell and Azure DevOps"", ""Drive cloud migration projects from on-premise to Azure""]"
88,Mobile App Developer,Staff Mobile Engineer,Stratos AI,"Toronto, Canada",Full-time,"$90,000 – $110,000","We are looking for a Staff Mobile Engineer to build beautiful, performant mobile experiences for our users.","[""Swift"", ""SwiftUI"", ""Xcode"", ""REST APIs"", ""Git"", ""Linux""]","[""Bitrise"", ""Sentry"", ""Amplitude"", ""MixPanel"", ""TDD"", ""Swagger""]",2-4 years,"[""Design and build iOS applications using Swift and SwiftUI"", ""Integrate RESTful and GraphQL APIs into the mobile app"", ""Write unit and UI tests using XCTest"", ""Submit apps to the App Store and manage releases via TestFlight"", ""Collaborate with backend and product teams on feature development""]"
89,Cybersecurity Analyst,Threat Intelligence Analyst,Stratos AI,"Seattle, WA",Full-time,"$110,000 – $130,000",We need a Threat Intelligence Analyst to lead our security operations and build a resilient security posture.,"[""Zero Trust"", ""PAM"", ""DLP"", ""SOAR"", ""MITRE ATT&CK""]","[""AWS Config"", ""Security Hub"", ""CloudTrail"", ""Terraform""]",0-2 years,"[""Lead the design and implementation of zero trust security architecture"", ""Define security standards and policies across cloud and on-premise environments"", ""Build and maintain SOAR playbooks for automated incident response"", ""Conduct red team exercises and purple team collaborations"", ""Mentor junior security analysts and conduct security awareness training""]"
90,Data Analyst,Principal Data Analyst,Nexus Systems,"Los Angeles, CA",Full-time (Hybrid),"$95,000 – $120,000",Join our analytics team as a Principal Data Analyst and help us build a data-driven culture.,"[""SQL"", ""Looker"", ""dbt"", ""Python"", ""Git""]","[""GA4"", ""Heap"", ""Looker"", ""Salesforce""]",0-1 years,"[""Write complex SQL queries to extract insights from large datasets"", ""Build and maintain dashboards in Tableau for cross-functional stakeholders"", ""Partner with product and marketing teams to define and track KPIs"", ""Conduct ad hoc analysis to support strategic decision-making"", ""Ensure data quality and accuracy in reporting pipelines""]"
91,Frontend Developer,Junior Frontend Developer,Cobalt Platforms,"Bangalore, India",Contract-to-Hire,"$70,000 – $90,000",Join our team as a Junior Frontend Developer and work on cutting-edge frontend applications that serve millions of users.,"[""HTML5"", ""CSS3"", ""TypeScript"", ""Vue.js"", ""Webpack"", ""Confluence""]","[""Accessibility (WCAG)"", ""Micro-frontends"", ""Vite"", ""Playwright"", ""TDD"", ""Swagger""]",1-3 years,"[""Develop and maintain Vue.js components for the product dashboard"", ""Integrate RESTful and GraphQL APIs into the frontend layer"", ""Ensure cross-browser compatibility and mobile responsiveness"", ""Implement state management using Vuex or Pinia"", ""Write end-to-end tests using Cypress""]"
92,Backend Developer,Java Backend Engineer,Luminary Tech,Singapore,Full-time (Remote),"$200,000 – $250,000",Join our engineering team as a Java Backend Engineer and help design robust APIs and microservices.,"[""Go"", ""gRPC"", ""PostgreSQL"", ""Docker"", ""Kubernetes"", ""CI/CD""]","[""AWS"", ""Microservices"", ""JUnit"", ""Prometheus"", ""BDD"", ""Postman""]",1-3 years,"[""Design and develop scalable RESTful APIs using Python and FastAPI"", ""Build and maintain microservices deployed on AWS"", ""Write comprehensive unit and integration tests"", ""Optimize database queries and manage schema migrations"", ""Collaborate with frontend and DevOps teams""]"
93,Full Stack Developer,Full Stack Python Developer,TechCorp,"Los Angeles, CA",Full-time (Hybrid),"$160,000 – $200,000","As a Full Stack Python Developer, you will own features from database to UI in a fast-paced startup environment.","[""Angular"", ""Java"", ""Spring Boot"", ""MongoDB"", ""Redis"", ""Jira""]","[""GraphQL"", ""Kubernetes"", ""CI/CD"", ""Terraform"", ""Slack"", ""Postman""]",1-3 years,"[""Develop full stack features for our B2B SaaS product"", ""Integrate third-party APIs and payment gateways"", ""Implement responsive UI components and backend business logic"", ""Own the full software development lifecycle for assigned features"", ""Maintain high test coverage across unit and integration tests""]"
94,Data Scientist,Decision Scientist,Cascade Data,"Amsterdam, Netherlands",Contract,"$95,000 – $120,000","Join our data science team as a Decision Scientist and help us build intelligent, data-driven products.","[""Python"", ""Pandas"", ""Scikit-learn"", ""SQL"", ""Jupyter"", ""Microservices""]","[""Airflow"", ""dbt"", ""BigQuery"", ""Plotly"", ""BDD"", ""OpenAPI""]",8+ years,"[""Lead a team of data scientists on core recommendation algorithms"", ""Drive the research agenda for new modeling approaches"", ""Define and track model performance KPIs in production"", ""Establish MLOps best practices including model versioning and monitoring"", ""Publish internal research papers and present at conferences""]"
95,Machine Learning Engineer,Machine Learning Engineer,Stratos AI,Singapore,Full-time,"$200,000 – $250,000",We're looking for a Machine Learning Engineer to design robust ML infrastructure and deploy intelligent systems.,"[""Python"", ""JAX"", ""Ray"", ""FastAPI"", ""Docker"", ""Git"", ""Code Review""]","[""Triton"", ""ONNX"", ""Weights & Biases"", ""Seldon"", ""BDD""]",3-5 years,"[""Lead end-to-end ML system design for recommendation and ranking"", ""Define MLOps standards including CI/CD for ML models"", ""Collaborate with platform and infrastructure teams on GPU clusters"", ""Own model governance including fairness, bias, and explainability"", ""Drive research to production pipeline improvements""]"
96,DevOps Engineer,Senior DevOps Engineer,Pixel Dynamics,Remote,Contract,"$160,000 – $200,000",We need a Senior DevOps Engineer to lead our DevOps transformation and drive continuous delivery at scale.,"[""Terraform"", ""AWS"", ""Ansible"", ""Jenkins"", ""Bash"", ""Unit Testing""]","[""Istio"", ""Datadog"", ""PagerDuty"", ""Vault""]",7+ years,"[""Lead platform engineering initiatives for a multi-cloud environment"", ""Define DevOps standards and promote a culture of operational excellence"", ""Conduct postmortems and drive long-term reliability improvements"", ""Build internal developer platforms using Backstage"", ""Manage capacity planning and cost optimization on AWS and GCP""]"
97,Cloud Engineer,Lead Cloud Engineer,Luminary Tech,"Bangalore, India",Full-time,"$160,000 – $200,000","As a Lead Cloud Engineer, you will own our cloud environment and drive best practices across teams.","[""AWS"", ""CloudFormation"", ""Lambda"", ""S3"", ""IAM"", ""Linux""]","[""Landing Zone"", ""Control Tower"", ""Service Catalog"", ""Macie"", ""Slack""]",3-5 years,"[""Design and implement cloud architectures on AWS following the Well-Architected Framework"", ""Build reusable Terraform modules for infrastructure provisioning"", ""Manage cloud costs and implement tagging and budget alerts"", ""Ensure security and compliance across cloud accounts"", ""Collaborate with development teams to design cloud-native applications""]"
98,Mobile App Developer,Cross-platform Mobile Developer,Quantum Labs,Hybrid – NYC,Full-time (Hybrid),"$150,000 – $180,000","We are looking for a Cross-platform Mobile Developer to build beautiful, performant mobile experiences for our users.","[""Flutter"", ""Dart"", ""Firebase"", ""REST APIs"", ""Git"", ""Agile""]","[""Bitrise"", ""Sentry"", ""Amplitude"", ""MixPanel"", ""Postman""]",6+ years,"[""Lead mobile architecture decisions across iOS and Android"", ""Define and enforce mobile coding standards and design patterns"", ""Own the mobile CI/CD pipelines using Bitrise or Fastlane"", ""Coordinate app releases and manage versioning across platforms"", ""Drive cross-functional alignment between design, backend, and mobile teams""]"
99,Cybersecurity Analyst,Senior Security Analyst,TechCorp,"Los Angeles, CA",Contract-to-Hire,"$110,000 – $130,000","As a Senior Security Analyst, you will be at the forefront of our cyber defense strategy.","[""Zero Trust"", ""PAM"", ""DLP"", ""SOAR"", ""MITRE ATT&CK""]","[""AWS Config"", ""Security Hub"", ""CloudTrail"", ""Terraform""]",6-8 years,"[""Lead the design and implementation of zero trust security architecture"", ""Define security standards and policies across cloud and on-premise environments"", ""Build and maintain SOAR playbooks for automated incident response"", ""Conduct red team exercises and purple team collaborations"", ""Mentor junior security analysts and conduct security awareness training""]"
100,Data Analyst,Junior Data Analyst,TechCorp,Singapore,Full-time,"$160,000 – $200,000",We're looking for a Junior Data Analyst to transform data into insights that drive key business decisions.,"[""SQL"", ""Google Analytics"", ""Python"", ""Tableau"", ""A/B Testing""]","[""Redshift"", ""Monte Carlo"", ""Great Expectations"", ""Spark"", ""OpenAPI""]",5-7 years,"[""Lead the analytics function for a key business vertical"", ""Define analytics strategy and OKR tracking frameworks"", ""Build and mentor a team of data analysts"", ""Drive adoption of data-driven decision making across the organization"", ""Own the data warehouse layer for business-facing reporting""]"
101,Frontend Developer,Staff Frontend Engineer,Apex Digital,Hybrid – NYC,Full-time (Remote),"$200,000 – $250,000",We are looking for a talented Staff Frontend Engineer to join our product engineering team and help build world-class web experiences.,"[""JavaScript"", ""Angular"", ""RxJS"", ""SCSS"", ""REST APIs"", ""Git""]","[""GraphQL"", ""Three.js"", ""Tailwind CSS"", ""CI/CD"", ""PagerDuty"", ""Postman""]",7+ years,"[""Develop and maintain Vue.js components for the product dashboard"", ""Integrate RESTful and GraphQL APIs into the frontend layer"", ""Ensure cross-browser compatibility and mobile responsiveness"", ""Implement state management using Vuex or Pinia"", ""Write end-to-end tests using Cypress""]"
102,Backend Developer,Lead Backend Developer,BlueSky Analytics,"Seattle, WA",Contract-to-Hire,"$120,000 – $150,000",We're looking for a skilled Lead Backend Developer to build the backbone of our cloud-native applications.,"[""Go"", ""gRPC"", ""PostgreSQL"", ""Docker"", ""Kubernetes""]","[""GraphQL"", ""Terraform"", ""ElasticSearch"", ""CI/CD"", ""Slack""]",0-1 years,"[""Design and develop scalable RESTful APIs using Python and FastAPI"", ""Build and maintain microservices deployed on AWS"", ""Write comprehensive unit and integration tests"", ""Optimize database queries and manage schema migrations"", ""Collaborate with frontend and DevOps teams""]"
103,Full Stack Developer,Full Stack Architect,Apex Digital,Hybrid – NYC,Full-time (Hybrid),"$120,000 – $150,000",We're looking for a Full Stack Architect who thrives in ambiguity and can ship end-to-end product experiences.,"[""Angular"", ""Java"", ""Spring Boot"", ""MongoDB"", ""Redis"", ""Confluence"", ""Git""]","[""GraphQL"", ""Kubernetes"", ""CI/CD"", ""Terraform"", ""PagerDuty"", ""New Relic""]",1-3 years,"[""Develop full stack features for our B2B SaaS product"", ""Integrate third-party APIs and payment gateways"", ""Implement responsive UI components and backend business logic"", ""Own the full software development lifecycle for assigned features"", ""Maintain high test coverage across unit and integration tests""]"
104,Data Scientist,Research Data Scientist,Meridian Cloud,"Amsterdam, Netherlands",Full-time (Remote),"$130,000 – $160,000","As a Research Data Scientist, you will apply statistical modeling and machine learning to solve complex business problems.","[""Python"", ""Statsmodels"", ""SQL"", ""Tableau"", ""Git"", ""REST APIs""]","[""AWS SageMaker"", ""MLflow"", ""Databricks"", ""PySpark"", ""BDD""]",0-2 years,"[""Lead a team of data scientists on core recommendation algorithms"", ""Drive the research agenda for new modeling approaches"", ""Define and track model performance KPIs in production"", ""Establish MLOps best practices including model versioning and monitoring"", ""Publish internal research papers and present at conferences""]"
105,Machine Learning Engineer,ML Engineer,BlueSky Analytics,Hybrid – NYC,Contract,"$80,000 – $100,000",We are hiring a ML Engineer to build and scale ML systems that power our core product experiences.,"[""Python"", ""TensorFlow"", ""PyTorch"", ""SQL"", ""Docker"", ""Code Review""]","[""TensorRT"", ""ONNX Runtime"", ""BentoML"", ""DVC"", ""Scrum"", ""PagerDuty""]",7+ years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
106,DevOps Engineer,Platform Engineer,TechCorp,"Denver, CO",Full-time,"$160,000 – $200,000",We are looking for a Platform Engineer to build and scale our cloud infrastructure and deployment pipelines.,"[""Terraform"", ""AWS"", ""Ansible"", ""Jenkins"", ""Bash""]","[""Crossplane"", ""Pulumi"", ""Grafana"", ""Loki""]",5-7 years,"[""Design and maintain CI/CD pipelines using Jenkins and GitHub Actions"", ""Manage Kubernetes clusters on AWS EKS across multiple environments"", ""Implement infrastructure-as-code using Terraform"", ""Monitor system health and respond to incidents using PagerDuty"", ""Collaborate with development teams to streamline deployments""]"
107,Cloud Engineer,Azure Cloud Engineer,Pixel Dynamics,"Denver, CO",Full-time (Remote),"$120,000 – $150,000","We are hiring a Azure Cloud Engineer to design and maintain scalable, secure cloud infrastructure.","[""Multi-cloud"", ""Terraform"", ""Ansible"", ""Kubernetes"", ""Bash"", ""Agile""]","[""GKE"", ""Anthos"", ""Cloud Run"", ""BigQuery"", ""New Relic""]",7+ years,"[""Architect and deploy Azure-based solutions for enterprise clients"", ""Implement governance and policy frameworks using Azure Policy"", ""Manage AKS clusters and containerized workloads"", ""Automate cloud operations using PowerShell and Azure DevOps"", ""Drive cloud migration projects from on-premise to Azure""]"
108,Mobile App Developer,Mobile Architect,TechCorp,"Toronto, ON",Full-time (Remote),"$130,000 – $160,000",We need a Mobile Architect to lead our mobile engineering efforts and drive platform quality.,"[""Swift"", ""SwiftUI"", ""Xcode"", ""REST APIs"", ""Git"", ""Jira""]","[""Bitrise"", ""Sentry"", ""Amplitude"", ""MixPanel""]",6+ years,"[""Design and build iOS applications using Swift and SwiftUI"", ""Integrate RESTful and GraphQL APIs into the mobile app"", ""Write unit and UI tests using XCTest"", ""Submit apps to the App Store and manage releases via TestFlight"", ""Collaborate with backend and product teams on feature development""]"
109,Cybersecurity Analyst,Information Security Analyst,BlueSky Analytics,"Toronto, ON",Full-time (Hybrid),"$130,000 – $160,000",We are hiring a Information Security Analyst to protect our infrastructure and customer data from evolving cyber threats.,"[""AWS Security"", ""IAM"", ""GuardDuty"", ""Python"", ""SIEM"", ""Agile""]","[""OSCP"", ""Elastic SIEM"", ""Threat Intelligence"", ""Ansible""]",8+ years,"[""Lead the design and implementation of zero trust security architecture"", ""Define security standards and policies across cloud and on-premise environments"", ""Build and maintain SOAR playbooks for automated incident response"", ""Conduct red team exercises and purple team collaborations"", ""Mentor junior security analysts and conduct security awareness training""]"
110,Data Analyst,Lead Data Analyst,TechCorp,Singapore,Full-time,"$120,000 – $150,000","As a Lead Data Analyst, you will partner closely with business stakeholders to answer critical questions with data.","[""SQL"", ""Excel"", ""Tableau"", ""Python"", ""Data Visualization""]","[""R"", ""Airflow"", ""BigQuery"", ""Segment""]",0-1 years,"[""Develop self-serve analytics using Looker and dbt"", ""Collaborate with data engineers to define data models and schemas"", ""Conduct cohort, funnel, and retention analysis for product teams"", ""Design and analyze A/B experiments to optimize user journeys"", ""Communicate analytical findings through clear visualizations and narratives""]"
111,Frontend Developer,Staff Frontend Engineer,Stratos AI,Remote,Full-time (Remote),"$120,000 – $150,000",Join our team as a Staff Frontend Engineer and work on cutting-edge frontend applications that serve millions of users.,"[""React"", ""Redux"", ""TypeScript"", ""Jest"", ""Figma""]","[""React Native"", ""D3.js"", ""Rollup"", ""Figma""]",7+ years,"[""Architect and maintain the Angular-based enterprise application"", ""Establish and enforce frontend coding standards and best practices"", ""Lead technical discussions and contribute to sprint planning"", ""Collaborate with backend teams to define API contracts"", ""Monitor and improve Core Web Vitals metrics""]"
112,Backend Developer,Backend Architect,Cascade Data,"Toronto, Canada",Full-time (Hybrid),"$70,000 – $90,000",We're looking for a skilled Backend Architect to build the backbone of our cloud-native applications.,"[""Python"", ""FastAPI"", ""SQLAlchemy"", ""Redis"", ""RabbitMQ""]","[""Alembic"", ""Airflow"", ""Datadog"", ""Sentry"", ""Swagger""]",3-5 years,"[""Architect high-throughput data pipelines using Kafka and Java"", ""Develop Spring Boot microservices following domain-driven design"", ""Lead architectural decisions for backend systems"", ""Write runbooks and on-call documentation"", ""Participate in capacity planning and performance tuning""]"
113,Full Stack Developer,Lead Full Stack Engineer,Synapse AI,"Boston, MA",Full-time (Hybrid),"$120,000 – $150,000","As a Lead Full Stack Engineer, you will own features from database to UI in a fast-paced startup environment.","[""React"", ""Python"", ""FastAPI"", ""PostgreSQL"", ""AWS""]","[""Storybook"", ""Datadog"", ""Sentry"", ""Auth0"", ""New Relic""]",3-5 years,"[""Develop full stack features for our B2B SaaS product"", ""Integrate third-party APIs and payment gateways"", ""Implement responsive UI components and backend business logic"", ""Own the full software development lifecycle for assigned features"", ""Maintain high test coverage across unit and integration tests""]"
114,Data Scientist,Applied Scientist,Luminary Tech,"Bangalore, India",Full-time,"$150,000 – $180,000","Join our data science team as a Applied Scientist and help us build intelligent, data-driven products.","[""Python"", ""Statsmodels"", ""SQL"", ""Tableau"", ""Git"", ""CI/CD"", ""REST APIs""]","[""Airflow"", ""dbt"", ""BigQuery"", ""Plotly"", ""Scrum"", ""BDD""]",4-6 years,"[""Lead a team of data scientists on core recommendation algorithms"", ""Drive the research agenda for new modeling approaches"", ""Define and track model performance KPIs in production"", ""Establish MLOps best practices including model versioning and monitoring"", ""Publish internal research papers and present at conferences""]"
115,Machine Learning Engineer,ML Engineer,DataVault Inc.,"Bangalore, India",Full-time,"$160,000 – $200,000",We are hiring a ML Engineer to build and scale ML systems that power our core product experiences.,"[""Python"", ""JAX"", ""Ray"", ""FastAPI"", ""Docker"", ""Unit Testing"", ""Jira""]","[""ZenML"", ""Evidently"", ""Prometheus"", ""Grafana"", ""Swagger""]",3-5 years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
116,DevOps Engineer,Build & Release Engineer,Apex Digital,"Austin, TX",Full-time (Remote),"$150,000 – $180,000",Join our platform team as a Build & Release Engineer and enable engineering velocity through world-class DevOps practices.,"[""Helm"", ""Kubernetes"", ""GitOps"", ""Prometheus"", ""Python""]","[""Istio"", ""Datadog"", ""PagerDuty"", ""Vault"", ""Pair Programming""]",5-7 years,"[""Lead platform engineering initiatives for a multi-cloud environment"", ""Define DevOps standards and promote a culture of operational excellence"", ""Conduct postmortems and drive long-term reliability improvements"", ""Build internal developer platforms using Backstage"", ""Manage capacity planning and cost optimization on AWS and GCP""]"
117,Cloud Engineer,Principal Cloud Engineer,Pinnacle Software,"Bangalore, India",Full-time,"$130,000 – $160,000","As a Principal Cloud Engineer, you will own our cloud environment and drive best practices across teams.","[""AWS"", ""CloudFormation"", ""Lambda"", ""S3"", ""IAM""]","[""Azure Policy"", ""Bicep"", ""Defender for Cloud"", ""Sentinel""]",1-3 years,"[""Design and implement cloud architectures on AWS following the Well-Architected Framework"", ""Build reusable Terraform modules for infrastructure provisioning"", ""Manage cloud costs and implement tagging and budget alerts"", ""Ensure security and compliance across cloud accounts"", ""Collaborate with development teams to design cloud-native applications""]"
118,Mobile App Developer,React Native Developer,Stratos AI,"New York, NY",Full-time (Remote),"$80,000 – $100,000","As a React Native Developer, you will own mobile feature development and ensure a world-class app experience.","[""Kotlin"", ""Android SDK"", ""Jetpack Compose"", ""Retrofit"", ""Git""]","[""BLoC"", ""Riverpod"", ""Hive"", ""Crashlytics"", ""PagerDuty"", ""Slack""]",4-6 years,"[""Lead mobile architecture decisions across iOS and Android"", ""Define and enforce mobile coding standards and design patterns"", ""Own the mobile CI/CD pipelines using Bitrise or Fastlane"", ""Coordinate app releases and manage versioning across platforms"", ""Drive cross-functional alignment between design, backend, and mobile teams""]"
119,Cybersecurity Analyst,Information Security Analyst,CloudBridge,"Berlin, Germany",Contract,"$70,000 – $90,000","Join our security team as a Information Security Analyst and help detect, investigate, and respond to security incidents.","[""AWS Security"", ""IAM"", ""GuardDuty"", ""Python"", ""SIEM""]","[""CISM"", ""SABSA"", ""Zero Trust Architecture"", ""Deception Technology"", ""BDD"", ""Postman""]",2-4 years,"[""Perform web application and network penetration tests"", ""Document findings and provide remediation guidance to development teams"", ""Conduct threat modeling for new product features"", ""Stay current on emerging CVEs and threat actor TTPs"", ""Support bug bounty triage and coordinate with external researchers""]"
120,Data Analyst,Lead Data Analyst,InnovateTech,"Amsterdam, Netherlands",Full-time,"$200,000 – $250,000",We're looking for a Lead Data Analyst to transform data into insights that drive key business decisions.,"[""SQL"", ""Google Analytics"", ""Python"", ""Tableau"", ""A/B Testing"", ""Code Review""]","[""Redshift"", ""Monte Carlo"", ""Great Expectations"", ""Spark"", ""Slack""]",5-7 years,"[""Lead the analytics function for a key business vertical"", ""Define analytics strategy and OKR tracking frameworks"", ""Build and mentor a team of data analysts"", ""Drive adoption of data-driven decision making across the organization"", ""Own the data warehouse layer for business-facing reporting""]"
121,Frontend Developer,Angular Developer,Meridian Cloud,Singapore,Full-time (Remote),"$200,000 – $250,000",Join our team as a Angular Developer and work on cutting-edge frontend applications that serve millions of users.,"[""JavaScript"", ""Angular"", ""RxJS"", ""SCSS"", ""REST APIs"", ""Code Review""]","[""Storybook"", ""Cypress"", ""WebSockets"", ""Docker""]",7+ years,"[""Build responsive user interfaces using React and TypeScript"", ""Collaborate with UX designers to implement pixel-perfect designs"", ""Write unit and integration tests using Jest and React Testing Library"", ""Optimize application performance through lazy loading and code splitting"", ""Participate in code reviews and mentor junior developers""]"
122,Backend Developer,Senior Backend Engineer,Vertex Systems,"Denver, CO",Full-time,"$200,000 – $250,000",We're looking for a skilled Senior Backend Engineer to build the backbone of our cloud-native applications.,"[""Python"", ""FastAPI"", ""SQLAlchemy"", ""Redis"", ""RabbitMQ"", ""REST APIs""]","[""GraphQL"", ""Terraform"", ""ElasticSearch"", ""CI/CD"", ""Pair Programming""]",0-1 years,"[""Design and develop scalable RESTful APIs using Python and FastAPI"", ""Build and maintain microservices deployed on AWS"", ""Write comprehensive unit and integration tests"", ""Optimize database queries and manage schema migrations"", ""Collaborate with frontend and DevOps teams""]"
123,Full Stack Developer,Lead Full Stack Engineer,DataVault Inc.,"New York, NY",Full-time (Hybrid),"$120,000 – $150,000",We're looking for a Lead Full Stack Engineer who thrives in ambiguity and can ship end-to-end product experiences.,"[""Vue.js"", ""Python"", ""Django"", ""MySQL"", ""Docker"", ""Linux""]","[""GraphQL"", ""Kubernetes"", ""CI/CD"", ""Terraform"", ""OpenAPI""]",5-7 years,"[""Develop full stack features for our B2B SaaS product"", ""Integrate third-party APIs and payment gateways"", ""Implement responsive UI components and backend business logic"", ""Own the full software development lifecycle for assigned features"", ""Maintain high test coverage across unit and integration tests""]"
124,Data Scientist,Decision Scientist,Apex Digital,"Bangalore, India",Full-time,"$160,000 – $200,000","Join our data science team as a Decision Scientist and help us build intelligent, data-driven products.","[""Python"", ""R"", ""Statistics"", ""Machine Learning"", ""SQL"", ""CI/CD""]","[""Looker"", ""Snowflake"", ""XGBoost"", ""Weights & Biases"", ""Swagger""]",0-2 years,"[""Develop NLP models for text classification and entity extraction"", ""Partner with product teams to define data science OKRs"", ""Create and maintain dashboards in Tableau and Looker"", ""Communicate complex statistical findings to non-technical audiences"", ""Improve data pipelines in collaboration with the data engineering team""]"
125,Machine Learning Engineer,Principal ML Engineer,Pixel Dynamics,"Berlin, Germany",Contract-to-Hire,"$130,000 – $160,000",We're looking for a Principal ML Engineer to design robust ML infrastructure and deploy intelligent systems.,"[""Python"", ""Scikit-learn"", ""MLflow"", ""Kubernetes"", ""Git""]","[""TensorRT"", ""ONNX Runtime"", ""BentoML"", ""DVC"", ""BDD""]",1-3 years,"[""Lead end-to-end ML system design for recommendation and ranking"", ""Define MLOps standards including CI/CD for ML models"", ""Collaborate with platform and infrastructure teams on GPU clusters"", ""Own model governance including fairness, bias, and explainability"", ""Drive research to production pipeline improvements""]"
126,DevOps Engineer,Principal DevOps Engineer,CloudBridge,"Boston, MA",Contract,"$130,000 – $160,000",We are looking for a Principal DevOps Engineer to build and scale our cloud infrastructure and deployment pipelines.,"[""Terraform"", ""AWS"", ""Ansible"", ""Jenkins"", ""Bash"", ""CI/CD""]","[""Tekton"", ""Harbor"", ""Trivy"", ""Cosign""]",5-7 years,"[""Lead platform engineering initiatives for a multi-cloud environment"", ""Define DevOps standards and promote a culture of operational excellence"", ""Conduct postmortems and drive long-term reliability improvements"", ""Build internal developer platforms using Backstage"", ""Manage capacity planning and cost optimization on AWS and GCP""]"
